time [s],Oxidizer mass flow rate [g/s],Thrust [N],Chamber pressure [MPaG]
t,mox,F,Pc
1.875,8.383025707,18.5682215,1.2050938
1.88,8.382195865,18.5721395,1.2055281
1.885,8.382610786,18.6152335,1.20753245
1.89,8.382314472,18.576057,1.2091192
1.895,8.381425286,18.556469,1.21017145
1.9,8.382255209,18.630904,1.21277705
1.905,8.382433079,18.6348215,1.21271025
1.91,8.381543893,18.630904,1.2137458
1.915,8.38207742,18.673998,1.21573345
1.92,8.381662419,18.6426565,1.2143805
1.925,8.382136683,18.693586,1.2176375
1.93,8.382432998,18.7053385,1.2187232
1.935,8.382018077,18.6935855,1.21830565
1.94,8.382195865,18.7836915,1.22066075
1.945,8.382255209,18.7680205,1.2196252
1.95,8.381840288,18.7836915,1.2203434
1.955,8.381662499,18.768021,1.22266505
1.96,8.382314553,18.791527,1.22258155
1.965,8.381662499,18.7954445,1.2229657
1.97,8.38148463,18.7876095,1.2259221
1.975,8.381543893,18.8071975,1.22451905
1.98,8.380951102,18.791527,1.22608905
1.985,8.381010284,18.791527,1.22672375
1.99,8.380832496,18.7680205,1.22478625
1.995,8.380832415,18.8346205,1.228227
2,8.380476757,18.803279,1.2278262
2.005,8.380713889,18.850291,1.2272416
2.01,8.380417494,18.8346205,1.22814355
2.015,8.380951021,18.830703,1.2296802
2.02,8.380713889,18.8424555,1.2277427
2.025,8.380358231,18.826785,1.22979715
2.03,8.380832496,18.850291,1.23145075
2.035,8.380358312,18.8307025,1.2313171
2.04,8.379646915,18.7993615,1.232052
2.045,8.380180442,18.807197,1.2318683
2.05,8.379646834,18.7915265,1.23161775
2.055,8.37899478,18.7915265,1.2335386
2.06,8.378935517,18.7680205,1.2330041
2.065,8.378283464,18.795444,1.2322358
2.07,8.379350519,18.830703,1.2358102
2.075,8.378698466,18.795444,1.23408985
2.08,8.37857994,18.8189495,1.2332046
2.085,8.379291256,18.8659615,1.2379315
2.09,8.379765521,18.846373,1.2368625
2.095,8.378817073,18.8150315,1.23594385
2.1,8.379113468,18.854208,1.2397521
2.105,8.379113387,18.830702,1.23709635
2.11,8.378461334,18.8973025,1.23836575
2.115,8.378698385,18.8189495,1.24016965
2.12,8.377335015,18.8071965,1.2367289
2.125,8.377987069,18.869879,1.2386664
2.13,8.377631411,18.826785,1.2398857
2.135,8.376860832,18.811114,1.2355263
2.14,8.376742225,18.905138,1.24047035
2.145,8.376979357,18.8424555,1.23938465
2.15,8.377631411,18.8659615,1.2351254
2.155,8.376801488,18.858126,1.23881675
2.16,8.377749936,18.85029,1.236612
2.165,8.376742225,18.940396,1.23522565
2.17,8.377394278,18.9129725,1.2403367
2.175,8.376030909,18.830702,1.2364283
2.18,8.37644583,18.912973,1.23545955
2.185,8.37626796,18.881632,1.23928445
2.19,8.376386567,18.8307025,1.2340899
2.195,8.376090172,18.944315,1.2377478
2.2,8.37585312,18.873797,1.2395517
2.205,8.377394359,18.9364795,1.23487485
2.21,8.376979357,18.9560685,1.238182
2.215,8.378105675,18.924727,1.23722995
2.22,8.376979357,18.9874095,1.23360545
2.225,8.378224201,19.0618445,1.2384659
2.23,8.377038701,18.9364795,1.23562645
2.235,8.378105675,19.0344215,1.2332046
2.24,8.377631411,19.014833,1.23728005
2.245,8.378046413,18.9756565,1.23357205
2.25,8.378164938,19.0344215,1.2338226
2.255,8.377572229,18.983492,1.23768095
2.26,8.378224282,18.967821,1.23467445
2.265,8.377512885,19.0030805,1.2364115
2.27,8.378402071,18.9678215,1.2372132
2.275,8.37721649,18.948234,1.2340898
2.28,8.37840199,19.0422575,1.2374804
2.285,8.377038701,18.916892,1.23614415
2.29,8.377512885,18.9834925,1.2326032
2.295,8.377157146,18.9795745,1.23549275
2.3,8.376505173,18.9599865,1.23547605
2.305,8.376505173,18.9678215,1.2332045
2.31,8.375023278,18.952151,1.23542595
2.315,8.375793938,18.940398,1.2355763
2.32,8.374430488,18.9247275,1.2345908
2.325,8.375023278,18.9403975,1.23597715
2.33,8.373956304,18.9012215,1.2355095
2.335,8.374786146,18.9717395,1.23601055
2.34,8.373956304,18.9168925,1.23851595
2.345,8.373778434,18.912975,1.2368958
2.35,8.373600484,18.936481,1.237447
2.355,8.373600484,18.9364815,1.23903375
2.36,8.37371909,18.936481,1.23824875
2.365,8.372592772,18.944316,1.23721315
2.37,8.373837697,18.979575,1.23966845
2.375,8.373244907,18.944316,1.23931765
2.38,8.373541302,18.9874095,1.23859945
2.385,8.373244907,18.983492,1.2405871
2.39,8.373304169,19.00308,1.2396517
2.395,8.373778434,19.038339,1.24055365
2.4,8.373897041,19.00308,1.24065385
2.405,8.373126381,19.0226685,1.2414723
2.41,8.374134011,19.034422,1.24055365
2.415,8.374134092,19.022669,1.2422073
2.42,8.373600565,19.030504,1.24045355
2.425,8.374252618,19.0971045,1.24230755
2.43,8.374134092,19.03834,1.242675
2.435,8.373719171,19.05401,1.24058715
