t,mox,F,Pc,of,mf,eta
9.615,0.008343546685,19.2459755,1151809.71,0.9663736886546518,0.008633871951352031,0.9782476461724292
9.62,0.008343428077999999,19.202881,1153563.5,0.9606889569697742,0.0086848381231705,0.9782476461724292
9.625,0.008343368815,19.1832925,1152678.25,0.9634954918735575,0.008659478830332634,0.9782476461724292
9.63,0.008344020950000001,19.2185515,1152110.36,0.9656169275521735,0.008641129532755797,0.9782476461724292
9.635,0.008343428159,19.2028805,1151676.09,0.966752181268919,0.008630369106639885,0.9782476461724292
9.64,0.008343783817000001,19.234222,1151358.74,0.9679411333993251,0.008620135594090684,0.9782476461724292
9.645,0.008344020869,19.167622,1153162.635,0.9622350641312284,0.008671499491170125,0.9782476461724292
9.65,0.008343724553999999,19.1754575,1152461.1199999999,0.9643533073316205,0.008652144904326822,0.9782476461724292
9.655,0.008344495134,19.1950455,1152210.575,0.9655075296850846,0.0086425997492963,0.9782476461724292
9.66,0.008343783817000001,19.1676215,1151676.085,0.9669130358363133,0.008629301196444417,0.9782476461724292
9.665,0.008344020869,19.1950455,1150891.05,0.9695683312001849,0.008605913168256344,0.9782476461724292
9.67,0.008343309632999998,19.2107165,1149905.585,0.9724618704214536,0.008579575083374842,0.9782476461724292
9.675,0.008343783817000001,19.2263875,1150490.185,0.9707669424641844,0.008595043209671138,0.9782476461724292
9.68,0.008343309553,19.183293,1150156.1300000001,0.9716419028289917,0.008586815295540437,0.9782476461724292
9.685,0.00834384308,19.2381405,1149371.1,0.9744603683277365,0.008562526862245614,0.9782476461724292
9.69,0.008343428159,19.206799,1148986.94,0.9755347121767083,0.008552671734646253,0.9782476461724292
9.695,0.00834342824,19.249893,1148118.4,0.978405798785037,0.00852757439741331,0.9782476461724292
9.7,0.008344198738,19.249893,1149705.165,0.9735257700545755,0.008571112336895023,0.9782476461724292
9.705,0.008343191108,19.249893,1150356.575,0.970932964383975,0.008592963071650863,0.9782476461724292
9.71,0.008343783817000001,19.285152,1151876.5250000001,0.9662648922361446,0.008635089491547905,0.9782476461724292
9.715,0.008343309632999998,19.277316,1152043.555,0.9655115793513339,0.008641335651930078,0.9782476461724292
9.72,0.008343368815,19.300822,1150807.545,0.9695437166345876,0.00860545911633662,0.9782476461724292
9.725,0.008342242577999998,19.289069,1151275.2200000002,0.9675136622329981,0.00862235119114112,0.9782476461724292
9.73,0.008342894632000001,19.316492999999998,1151659.385,0.9665650040253456,0.008631488412321238,0.9782476461724292
9.735,0.008342123970999999,19.277316,1152344.2,0.964009263348127,0.008653572416956596,0.9782476461724292
9.74,0.008342953812999999,19.351751999999998,1151191.705,0.9681067919911083,0.008617803203137353,0.9782476461724292
9.745,0.008342716681000001,19.3478345,1150824.2449999999,0.9691929994950819,0.00860790026893125,0.9782476461724292
9.75,0.008342064709,19.3713405,1150540.295,0.9698208999673562,0.008601654913067755,0.9782476461724292
9.755,0.008342953812999999,19.387010999999998,1150156.135,0.9714795524088867,0.008587884111727066,0.9782476461724292
9.76,0.008342538973,19.3791755,1150273.055,0.9709084040463629,0.008592508766256005,0.9782476461724292
9.765,0.008342420367000001,19.3791755,1151258.5199999998,0.9676483256636459,0.008621334988905693,0.9782476461724292
9.77,0.008342953894,19.394845999999998,1152193.8800000001,0.9648666256144958,0.008646743158606623,0.9782476461724292
9.775,0.008342894551,19.347834,1151542.47,0.9669432092502843,0.008628112252288975,0.9782476461724292
9.78,0.00834247963,19.3321635,1152193.875,0.9646530204411401,0.008648166183302828,0.9782476461724292
9.785,0.008343428077999999,19.3478345,1152310.7950000002,0.9647036709907907,0.008648695271814352,0.9782476461724292
9.79,0.008342894551,19.30474,1153095.825,0.9619443567797606,0.008672949211874347,0.9782476461724292
9.795,0.008342835207,19.3125755,1151442.2449999999,0.9672408499530097,0.008625395843657048,0.9782476461724292
9.8,0.008343368734,19.3360815,1150540.295,0.9704144046431585,0.008597737929362281,0.9782476461724292
9.805,0.008342894551,19.3360815,1150807.5350000001,0.9693281842861579,0.008606883289114261,0.9782476461724292
9.81,0.008343072339,19.3478345,1150339.8599999999,0.9709334021887035,0.008592836872428972,0.9782476461724292
9.815,0.008343546604,19.332164000000002,1149337.69,0.9744342614604986,0.00856245201343244,0.9782476461724292
9.82,0.008343013157,19.320411,1150039.2049999998,0.9718890224423666,0.008584326980084543,0.9782476461724292
9.825,0.008343250209,19.3399995,1150089.315,0.9718333280705762,0.008585062858015195,0.9782476461724292
9.83,0.008343427997,19.3164935,1149521.4249999998,0.9737760375327109,0.008568118001897053,0.9782476461724292
9.835,0.008342775944,19.2929875,1150356.5599999998,0.9707438111252551,0.008594209768207867,0.9782476461724292
9.84,0.00834307242,19.312576,1150456.7799999998,0.9705518604304437,0.008596214957848633,0.9782476461724292
9.845,0.008343902343,19.3086585,1151909.925,0.9662105127856722,0.008635698155408987,0.9782476461724292
9.85,0.008342835288,19.242058,1150072.62,0.971698519434277,0.008585826901184536,0.9782476461724292
9.855,0.008343605947999998,19.265564,1148886.725,0.9759469032071636,0.008549241685773255,0.9782476461724292
9.86,0.00834325029,19.2498935,1149070.455,0.9751778123499815,0.008555619482250578,0.9782476461724292
9.865,0.008343131682999999,19.269482,1150339.87,0.9709604193346418,0.008592658894084677,0.9782476461724292
9.87,0.008343250209,19.2420585,1148502.565,0.9770518538435605,0.008539209230481506,0.9782476461724292
9.875,0.008343428159,19.2733995,1147767.64,0.9795698233343725,0.0085174409830222,0.9782476461724292
9.88,0.008342894632000001,19.2733995,1147333.365,0.9807672461435831,0.00850649801449284,0.9782476461724292
9.885,0.008342953894,19.292988,1146164.175,0.9847025203627707,0.008472562750145497,0.9782476461724292
9.89,0.008342835288,19.269482,1146832.285,0.9824109425459867,0.00849220517269378,0.9782476461724292
9.895,0.008341531181,19.2263875,1147216.45,0.9805244937263454,0.008507213470312388,0.9782476461724292
9.9,0.008343013157,19.2773175,1148602.7850000001,0.9766114546884387,0.008542817224749439,0.9782476461724292
9.905,0.008341946102,19.191129,1147199.75,0.9807724582133152,0.008505485683393498,0.9782476461724292
9.91,0.00834230176,19.2067995,1145780.0150000001,0.9856878040782371,0.008463432057781498,0.9782476461724292
9.915,0.008342064627999999,19.191129,1145128.605,0.9877697034168921,0.008445353809843667,0.9782476461724292
9.92,0.008342479549,19.2224705,1146481.53,0.9834182109597324,0.008483145274336999,0.9782476461724292
9.925,0.0083427166,19.191129500000002,1146247.695,0.9843118249533674,0.008475684624021703,0.9782476461724292
9.93,0.008342657418,19.1872115,1145195.42,0.9878221396145702,0.008445505606156135,0.9782476461724292
9.935,0.008343131682999999,19.202882000000002,1144894.77,0.9890594685163897,0.008435419657338577,0.9782476461724292
9.94,0.008342835288,19.218552499999998,1144326.875,0.9908420013274892,0.00841994513436311,0.9782476461724292
9.945,0.008343605947999998,19.238141,1144226.6600000001,0.9915445427060574,0.0084147565627553,0.9782476461724292
9.95,0.00834247963,19.1950465,1144761.145,0.9892049983151293,0.008433519487072336,0.9782476461724292
9.955,0.008343250209,19.2303055,1144777.85,0.98951034442219,0.008431695793813978,0.9782476461724292
9.96,0.008342953812999999,19.2342235,1145145.31,0.9881300767022311,0.008443173636454459,0.9782476461724292
9.965,0.008343131682999999,19.2459765,1143591.9500000002,0.9934774976454229,0.008397907051517038,0.9782476461724292
9.97,0.008343131682999999,19.22247,1142456.165,0.9973535850406783,0.008365269657761057,0.9782476461724292
9.975,0.00834325029,19.2498935,1141955.08,0.9991268667250471,0.008350541425582548,0.9782476461724292
9.98,0.008344020788000001,19.269482,1142873.735,0.996347039823141,0.008374612915476847,0.9782476461724292
9.985,0.008343190946000001,19.234223,1143441.63,0.994017211711002,0.008393406922641575,0.9782476461724292
9.99,0.008343961606,19.2616465,1142573.0899999999,0.9973470349567143,0.008366156727344295,0.9782476461724292
9.995,0.008343605867000002,19.2694815,1141370.49,1.0013045014936375,0.0083327358007019,0.9782476461724292
10.0,0.008343665210999999,19.2929875,1140652.275,1.0038088270818049,0.008312006216618014,0.9782476461724292
10.005,0.008344020950000001,19.35567,1142272.44,0.9984047492108192,0.008357353024007011,0.9782476461724292
10.01,0.008343665292,19.328246,1141437.3,1.0011029556450186,0.0083344727382451,0.9782476461724292
10.015,0.008343665292,19.4026815,1143040.77,0.995608259918961,0.008380470138605666,0.9782476461724292
10.02,0.008343843161,19.426188,1142055.3050000002,0.9990647644816156,0.008351653924387342,0.9782476461724292
10.025,0.008343072501,19.3909285,1142205.6350000002,0.9981833965336555,0.008358256138073018,0.9782476461724292
10.03,0.008343191108,19.4261875,1142222.335,0.9981824813360557,0.008358382624420272,0.9782476461724292
10.035,0.008343665210999999,19.430104999999998,1141621.0350000001,1.0004711873454273,0.00833973563310547,0.9782476461724292
10.04,0.008342657499,19.383093,1141654.44,0.9998770124568174,0.008343683668155438,0.9782476461724292
10.045,0.008343368896,19.422269500000002,1141637.7349999999,1.0002728073872842,0.008341093384106789,0.9782476461724292
10.05,0.008343309553,19.4026815,1141086.54,1.0021409370367311,0.008325485213357965,0.9782476461724292
10.055,0.008342657499,19.359587,1139934.055,1.0058120724123074,0.00829444955755128,0.9782476461724292
10.06,0.008343487422000001,19.4261875,1140635.5699999998,1.003781570343811,0.008312054802064381,0.9782476461724292
10.065,0.008343368896,19.394845999999998,1139750.3199999998,1.0067910110716742,0.008287091168125288,0.9782476461724292
10.07,0.008343191027,19.3948455,1141286.975,1.0013942750932325,0.00833157452015913,0.9782476461724292
10.075,0.008343309632999998,19.4026815,1141470.705,1.0008187259731351,0.008336484336748867,0.9782476461724292
10.08,0.008342538973,19.37134,1141704.545,0.9996485891550924,0.008345471662247984,0.9782476461724292
10.085,0.008342598236,19.3674225,1141236.865,1.0012843213736837,0.008331897402083165,0.9782476461724292
10.09,0.008343131682999999,19.3948465,1140719.0750000002,1.0033232706996527,0.008315497035349374,0.9782476461724292
10.095,0.008342005365,19.343917,1139850.53,1.0057890367147453,0.008293991145745506,0.9782476461724292
10.1,0.008342361104,19.363505,1140117.775,1.0050335048950438,0.008300580093467827,0.9782476461724292
10.105,0.008342716762,19.359588000000002,1140451.8250000002,1.004048093658278,0.008309080824607785,0.9782476461724292
10.11,0.008342005446,19.2812345,1139683.5,1.0063685565111986,0.008289215111131279,0.9782476461724292
10.115,0.00834247963,19.289070000000002,1139065.5,1.008746888555477,0.0082701416228866,0.9782476461724292
10.12,0.008342894551,19.281235000000002,1138146.8449999997,1.0121642122058025,0.008242629457149436,0.9782476461724292
10.125,0.008342894469999999,19.265564,1137762.6800000002,1.0135171291500567,0.008231626511331304,0.9782476461724292
10.13,0.008343013076,19.2498935,1137695.87,1.0138106828386708,0.00822935999514185,0.9782476461724292
10.135,0.00834307242,19.2733995,1138130.145,1.0123092682119308,0.008241624058956403,0.9782476461724292
10.14,0.008342776025,19.206799,1136844.0350000001,1.0167144533001298,0.008205623513977182,0.9782476461724292
10.145,0.008343368815,19.230304999999998,1136727.1150000002,1.0174222809359796,0.008200497444703591,0.9782476461724292
10.15,0.008342598154999999,19.187210999999998,1135574.6199999999,1.02117681663228,0.008169592199040414,0.9782476461724292
10.155,0.008342005365,19.187210500000003,1134990.03,1.0229987740520645,0.008154462719400525,0.9782476461724292
10.16,0.008342657418,19.22247,1135507.815,1.02144762662857,0.008167484264989781,0.9782476461724292
10.165,0.008341649707,19.1597875,1136459.87,1.0175302949375635,0.008197937445697231,0.9782476461724292
10.17,0.008341649707,19.2146345,1135708.25,1.020224110938985,0.008176291481018406,0.9782476461724292
10.175,0.008342183234000001,19.210717000000002,1136242.7349999999,1.0185692950075476,0.008190098871906585,0.9782476461724292
10.18,0.008341708969999998,19.2303055,1134772.8900000001,1.0236404132945454,0.008149061781522034,0.9782476461724292
10.185,0.008342242416,19.2498935,1134589.1600000001,1.0245787482044237,0.008142119315494096,0.9782476461724292
10.19,0.008342420286,19.292988,1135056.8399999999,1.0229635416802865,0.008155149177943343,0.9782476461724292
10.195,0.008342123891,19.2733995,1135424.305,1.0214839184183127,0.008166671780714004,0.9782476461724292
10.2,0.008343072339,19.320411,1137127.99,1.0158502102316138,0.008212896207500691,0.9782476461724292
10.205,0.008342657418,19.253811,1136159.225,1.0191026438423003,0.008186277867502985,0.9782476461724292
10.21,0.008342064627999999,19.2538105,1135574.6300000001,1.0209115825721087,0.008171192070309169,0.9782476461724292
10.215,0.008342775944,19.269481,1134288.52,1.0259495764720425,0.008131760210563665,0.9782476461724292
10.22,0.008342064627999999,19.214634,1135958.795,1.0195288113409013,0.008182274532318881,0.9782476461724292
10.225,0.008342242497000002,19.281234,1134655.9849999999,1.0243346264438844,0.008144059842984337,0.9782476461724292
10.23,0.008342598236,19.25381,1136710.425,1.017103042152056,0.008202313718724272,0.9782476461724292
10.235,0.008341649869,19.265563,1136175.935,1.0185453021313287,0.008189768144376998,0.9782476461724292
10.24,0.008342361185,19.296904,1135891.985,1.0199156999790242,0.008179461484092822,0.9782476461724292
10.245,0.008342005527000002,19.300822,1134772.9,1.0237890962754923,0.008148167974583747,0.9782476461724292
10.25,0.008341116341000002,19.2812335,1133703.9249999998,1.0272626098657653,0.008119750744252197,0.9782476461724292
10.255,0.008341649788,19.324328,1136877.45,1.016043328798174,0.008209935099782519,0.9782476461724292
10.26,0.008341590525000001,19.292987,1136092.42,1.0188151366983702,0.008187540825151293,0.9782476461724292
10.265,0.008341353473,19.30474,1135641.4449999998,1.0203177166218715,0.008175251039075404,0.9782476461724292
10.27,0.008341412736,19.2969045,1132935.595,1.030270782831869,0.00809633047447221,0.9782476461724292
10.275,0.008341116341000002,19.2616455,1133286.35,1.028810401269994,0.00810753500421796,0.9782476461724292
10.28,0.008341590606000001,19.289069,1131165.1,1.0370958294923527,0.008043220663690375,0.9782476461724292
10.285,0.008341709131,19.214633499999998,1131332.13,1.036513595403044,0.00804785307978171,0.9782476461724292
10.29,0.008340642157000002,19.214633499999998,1131866.6149999998,1.0339052704766216,0.008067124131357833,0.9782476461724292
10.295,0.008341709131,19.2342215,1132584.83,1.0317405923163085,0.008085083782806734,0.9782476461724292
10.3,0.008341294209999999,19.198963,1131248.6099999999,1.036616185088871,0.008046656351680332,0.9782476461724292
10.305,0.008341234948000001,19.230304,1128910.225,1.0458404048266496,0.007975628890894284,0.9782476461724292
10.31,0.008341175604,19.206798000000003,1130463.58,1.0396058235212084,0.008023402154239507,0.9782476461724292
10.315,0.008340997734,19.1558685,1129377.9,1.0438177098013934,0.007990856694304447,0.9782476461724292
10.32,0.008341531262,19.183292,1128642.98,1.0470982818778714,0.00796633076986838,0.9782476461724292
10.325,0.008341056997000001,19.1676215,1128208.705,1.0486218834272307,0.007954303766519507,0.9782476461724292
10.33,0.008341234786,19.163704,1128225.405,1.048653478186816,0.007954233652495474,0.9782476461724292
10.335,0.008341353392000001,19.18721,1127173.125,1.0531553834648009,0.007920344445809682,0.9782476461724292
10.34,0.008341768313,19.155869,1127306.75,1.0528262926676641,0.0079232142767479,0.9782476461724292
10.345,0.008341234786,19.1401985,1127306.75,1.0525151188238937,0.007925049851370023,0.9782476461724292
10.35,0.008342123891,19.1832925,1128592.8599999999,1.0476376460359573,0.00796279507763477,0.9782476461724292
10.355,0.008341946102,19.1401985,1128075.075,1.0496839306971555,0.00794710279737219,0.9782476461724292
10.36,0.008342242497000002,19.202881,1127006.1,1.0543969490233813,0.007911861376995517,0.9782476461724292
10.365,0.008342361022999999,19.230304500000003,1127540.5899999999,1.0521748948551284,0.007928682830004835,0.9782476461724292
10.37,0.008341708969999998,19.1754575,1127273.345,1.052934415090618,0.007922344307914081,0.9782476461724292
10.375,0.008342420367000001,19.2185515,1126054.045,1.0586915625781754,0.007879934687194586,0.9782476461724292
10.38,0.008342005365,19.1911275,1126204.37,1.0577684298521182,0.007886419304616851,0.9782476461724292
10.385,0.008342183153,19.214633499999998,1126538.43,1.056399795213188,0.007896804969861334,0.9782476461724292
10.39,0.008342657337,19.214633499999998,1126672.05,1.0560976082373998,0.00789951352216741,0.9782476461724292
10.395,0.008342123891,19.1950455,1127891.3499999999,1.0505553948053539,0.007940679694044713,0.9782476461724292
