t,mox,F,Pc,of,mf,lambda,Pe,Ve,cstr_ex,eta,dof,dmf
0.8,0.477117601,1557.26095,2207627.7,0.656057456,0.727249719,0.921191235,1252072.942,810.3611525,1049.504444,0.870932519,0.002597367,0.002867867
0.805,0.478182717,1557.8078,2208718.35,0.659319152,0.725267445,0.921191235,1252364.3,811.3218698,1050.823169,0.871321319,0.002626358,0.002877596
0.81,0.479138184,1558.1203,2209481.8,0.662474681,0.723255088,0.921191235,1252481.181,812.2569782,1052.11037,0.871700095,0.00265495,0.002886965
0.815,0.480090354,1559.6048,2211553.95,0.664288605,0.722713518,0.921191235,1253479.04,812.8045079,1052.73759,0.871808695,0.002665849,0.002888721
0.82,0.481198432,1562.57375,2215443.85,0.665016465,0.723588748,0.921191235,1255621.254,813.0376262,1052.853195,0.871716744,0.00266351,0.002886542
0.825,0.482178749,1566.87095,2219297.35,0.66284167,0.727441818,0.921191235,1258034.944,812.4068693,1050.470212,0.870190876,0.002572126,0.002811893
0.83,0.48298228,1568.5117,2220678.8,0.66343196,0.728005748,0.921191235,1258762.303,812.5877413,1049.937159,0.869610989,0.002540183,0.002776795
0.835,0.483772976,1568.8242,2220351.65,0.665378921,0.727063874,0.921191235,1258379.921,813.165971,1049.913552,0.869168317,0.00251745,0.002740466
0.84,0.48460746,1568.8242,2221078.75,0.668723177,0.724675735,0.921191235,1258458.415,814.1704252,1051.606712,0.869826691,0.002561736,0.002765484
0.845,0.485412191,1570.69935,2223078.25,0.669266748,0.725289568,0.921191235,1259542.541,814.3420391,1051.320144,0.869454707,0.002541499,0.002743822
0.85,0.486136997,1572.65265,2225077.7,0.669384075,0.726245239,0.921191235,1260669.318,814.3854256,1050.807167,0.868990165,0.002515098,0.00271853
0.855,0.486957038,1574.9966,2226531.9,0.668768695,0.728139702,0.921191235,1261559.089,814.2061494,1049.144905,0.86774157,0.002441255,0.002648314
0.86,0.487831204,1576.79355,2228313.25,0.669563188,0.728581279,0.921191235,1262493.79,814.4523161,1048.848555,0.867307784,0.00241743,0.002621049
0.865,0.488609351,1577.73105,2229185.8,0.671069486,0.728105451,0.921191235,1262839.724,814.9101572,1048.998545,0.867090598,0.002406577,0.002601788
0.87,0.489398515,1578.04355,2228967.7,0.673121973,0.727057702,0.921191235,1262510.393,815.5308462,1049.11888,0.866732556,0.002387097,0.002569259
0.875,0.490314171,1578.1998,2228858.65,0.676008842,0.725307334,0.921191235,1262160.746,816.4093816,1049.7879,0.866635184,0.002383679,0.002548525
0.88,0.491300417,1580.07495,2230349.15,0.676881351,0.725829447,0.921191235,1262922.427,816.6820274,1049.188076,0.865931749,0.002344593,0.002505461
0.885,0.492184516,1583.20015,2233257.5,0.675889831,0.72820228,0.921191235,1264676.52,816.3904152,1047.752512,0.864950707,0.002285886,0.002454508
0.89,0.492933428,1586.87225,2236020.4,0.67330589,0.732109188,0.921191235,1266507.309,815.6144806,1045.061802,0.863290114,0.002186733,0.002370015
0.895,0.493614526,1588.98175,2237474.55,0.672590043,0.73390103,0.921191235,1267406.896,815.4029846,1043.634697,0.862260773,0.002136819,0.00232422
0.9,0.494328338,1589.9193,2238347.05,0.673873949,0.733562025,0.921191235,1267775.114,815.7961435,1043.722972,0.862040925,0.002123649,0.002304487
0.905,0.494974469,1590.30995,2239146.85,0.675909087,0.732309239,0.921191235,1268027.086,816.4193016,1044.612017,0.862312547,0.002141059,0.002312392
0.91,0.495636566,1591.3257,2240128.4,0.67694269,0.732169167,0.921191235,1268482.728,816.7390662,1044.6256,0.862083714,0.002127175,0.002293508
