time [s],Oxidizer mass flow rate [g/s],Thrust [N],Chamber pressure [MPaG]
t,mox,F,Pc
2.62,4.67247438,0,0.162476
2.625,4.64377263,0,0.162023
2.63,4.6688866,0,0.162476
2.635,4.69041279,0,0.162627
2.64,4.67247438,0,0.164741
2.645,4.65453597,0,0.164439
2.65,4.65094819,0,0.163382
2.655,4.69041279,0,0.164741
2.66,4.62583422,0,0.163533
2.665,4.67247438,0,0.1661
2.67,4.69041279,0,0.165043
2.675,4.61865866,0,0.164741
2.68,4.66171104,0,0.163986
2.685,4.69041279,0,0.164137
2.69,4.65094819,0,0.163684
2.695,4.67964994,0,0.163684
2.7,4.66171104,0,0.162023
2.705,4.63659707,0,0.162023
2.71,4.65453597,0,0.162325
2.715,4.6688866,0,0.160966
2.72,4.65812375,0,0.16157
2.725,4.65453597,0,0.161268
2.73,4.70476391,0,0.162476
2.735,4.67606216,0,0.162023
2.74,4.62583422,0,0.161268
2.745,4.64377263,0,0.161268
2.75,4.67964994,0,0.161268
2.755,4.67247438,0,0.163835
2.76,4.64018485,0,0.161268
2.765,4.67606216,0,0.162778
2.77,4.66529882,0,0.16308
2.775,4.61507088,0,0.160362
2.78,4.67964994,0,0.162627
2.785,4.65453597,0,0.161721
2.79,4.64377263,0,0.162325
2.795,4.70117613,0,0.162627
2.8,4.6688866,0,0.16308
2.805,4.60430754,0,0.160815
2.81,4.66171104,0,0.162023
2.815,4.70117613,0,0.161419
2.82,4.65812375,0,0.16006
2.825,4.67247438,0,0.161721
2.83,4.66171104,0,0.160362
2.835,4.629422,0,0.161268
2.84,4.64018485,0,0.16308
2.845,4.67964994,0,0.162627
2.85,4.66171104,0,0.162778
2.855,4.6688866,0,0.16308
2.86,4.6868255,0,0.162023
2.865,4.65812375,0,0.162174
2.87,4.59354469,0,0.162476
2.875,4.6688866,0,0.16459
2.88,4.66529882,0,0.162929
2.885,4.67606216,0,0.162627
2.89,4.6688866,0,0.163684
2.895,4.66529882,0,0.161721
2.9,4.66171104,0,0.163684
2.905,4.63659707,0,0.161419
2.91,4.64377263,0,0.16308
2.915,4.66529882,0,0.164439
2.92,4.65453597,0,0.16459
2.925,4.65094819,0,0.164137
2.93,4.67964994,0,0.165949
2.935,4.61865866,0,0.163835
2.94,4.66529882,0,0.162778
2.945,4.69758835,0,0.164439
2.95,4.64018485,0,0.162023
2.955,4.69400057,0,0.163382
2.96,4.69041279,0,0.163382
2.965,4.61507088,0,0.162627
2.97,4.65094819,0,0.162476
2.975,4.6688866,0,0.163684
2.98,4.64377263,0,0.162627
2.985,4.6688866,0,0.162627
2.99,4.67247438,0,0.162627
2.995,4.62224644,0,0.16459
3,4.65453597,0,0.163231
3.005,4.66171104,0,0.162929
3.01,4.65453597,0,0.163835
3.015,4.69758835,0,0.163835
3.02,4.66171104,0,0.161872
3.025,4.65812375,0,0.16459
3.03,4.629422,0,0.163382
3.035,4.68323772,0,0.164439
3.04,4.6688866,0,0.16459
3.045,4.67247438,0,0.165043
3.05,4.67606216,0,0.163835
3.055,4.63659707,0,0.164892
3.06,4.62224644,0,0.163835
3.065,4.66171104,0,0.164439
3.07,4.66529882,0,0.163684
3.075,4.65453597,0,0.162929
3.08,4.6868255,0,0.16308
3.085,4.65812375,0,0.162325
3.09,4.64736041,0,0.163986
3.095,4.65453597,0,0.162627
3.1,4.68323772,0,0.163382
3.105,4.65094819,0,0.162627
3.11,4.67247438,0,0.163835
3.115,4.67247438,0,0.16459
3.12,4.60072025,0,0.163533
3.125,4.67247438,0,0.16459
3.13,4.65812375,0,0.163986
3.135,4.66171104,0,0.165043
3.14,4.67964994,0,0.163533
3.145,4.66171104,0,0.164439
3.15,4.65094819,0,0.164288
3.155,4.6114831,0,0.162627
3.16,4.67606216,0,0.16459
3.165,4.65453597,0,0.163231
3.17,4.68323772,0,0.162929
3.175,4.6688866,0,0.163835
3.18,4.67964994,0,0.163684
3.185,4.64377263,0,0.16459
3.19,4.629422,0,0.161872
3.195,4.67606216,0,0.163835
3.2,4.63659707,0,0.164741
3.205,4.66171104,0,0.16308
3.21,4.69041279,0,0.163986
3.215,4.62224644,0,0.161721
3.22,4.63300929,0,0.162627
3.225,4.69041279,0,0.162627
3.23,4.6688866,0,0.162929
3.235,4.65453597,0,0.162778
3.24,4.68323772,0,0.162476
3.245,4.66171104,0,0.162325
3.25,4.61507088,0,0.162325
3.255,4.69758835,0,0.16308
3.26,4.65094819,0,0.16157
3.265,4.66171104,0,0.161872
3.27,4.70835169,0,0.163835
3.275,4.67606216,0,0.160664
3.28,4.63659707,0,0.162174
3.285,4.66529882,0,0.162627
3.29,4.66171104,0,0.162174
3.295,4.6688866,0,0.162023
3.3,4.66529882,0,0.161721
3.305,4.64377263,0,0.160513
3.31,4.66171104,0,0.162627
3.315,4.61507088,0,0.161721
3.32,4.66171104,0,0.162174
3.325,4.66529882,0,0.161268
3.33,4.64377263,0,0.161419
3.335,4.65812375,0,0.161419
3.34,4.67964994,0,0.162023
3.345,4.61507088,0,0.161268
3.35,4.64018485,0,0.163533
3.355,4.6868255,0,0.165194
3.36,4.66171104,0,0.162476
3.365,4.64018485,0,0.162778
3.37,4.70476391,0,0.164439
3.375,4.65094819,0,0.161872
3.38,4.64377263,0,0.163835
3.385,4.64018485,0,0.162023
3.39,4.66171104,0,0.162627
3.395,4.66171104,0,0.163231
3.4,4.65094819,0,0.162325
3.405,4.69041279,0,0.163533
3.41,4.64018485,0,0.162929
3.415,4.61507088,0,0.163231
3.42,4.66171104,0,0.162778
3.425,4.6688866,0,0.163231
3.43,4.63659707,0,0.16157
3.435,4.67606216,0,0.162929
3.44,4.67606216,0,0.161419
3.445,4.61507088,0,0.162325
3.45,4.6868255,0,0.162325
3.455,4.65453597,0,0.160362
3.46,4.66171104,0,0.162023
3.465,4.70476391,0,0.162023
3.47,4.66171104,0,0.161419
3.475,4.64018485,0,0.161872
3.48,4.65812375,0,0.16308
3.485,4.6688866,0,0.16308
3.49,4.67247438,0,0.16308
3.495,4.69041279,0,0.164439
3.5,4.66171104,0,0.162023
3.505,4.65453597,0,0.164439
3.51,4.65453597,0,0.163533
3.515,4.66171104,0,0.162174
3.52,4.66529882,0,0.16308
3.525,4.65812375,0,0.161721
3.53,4.67964994,0,0.163231
3.535,4.629422,0,0.161721
3.54,4.63300929,0,0.162174
3.545,4.69400057,0,0.162174
3.55,4.66529882,0,0.162174
3.555,4.65094819,0,0.164137
3.56,4.68323772,0,0.172442
3.565,4.64736041,0,0.173499
3.57,4.61507088,0,0.174103
3.575,4.66171104,0,0.17667
3.58,4.64018485,0,0.171234
3.585,4.67606216,0,0.172593
3.59,4.68323772,0,0.173046
3.595,4.66171104,0,0.168516
