time [s],Oxidizer mass flow rate [g/s],Thrust [N],Chamber pressure [MPaG]
t,mox,F,Pc
2.285,4.550835723,0,0.169875
2.29,4.631764277,0,0.171083
2.295,4.564910505,0,0.169875
2.3,4.550835723,0,0.169573
2.305,4.557873114,0,0.168516
2.31,4.582503502,0,0.167157
2.315,4.586022197,0,0.167761
2.32,4.571947416,0,0.167308
2.325,4.603615194,0,0.169573
2.33,4.543798332,0,0.166251
2.335,4.557873114,0,0.16459
2.34,4.571947416,0,0.166553
2.345,4.589540893,0,0.163835
2.35,4.557873114,0,0.163533
2.355,4.596578284,0,0.162778
2.36,4.578984806,0,0.161721
2.365,4.508612339,0,0.162023
2.37,4.564910505,0,0.161872
2.375,4.571947416,0,0.162778
2.38,4.56139181,0,0.16308
2.385,4.578984806,0,0.16308
2.39,4.571947416,0,0.162929
2.395,4.564910505,0,0.160966
2.4,4.52268664,0,0.162023
2.405,4.589540893,0,0.160966
2.41,4.582503502,0,0.162325
2.415,4.554354419,0,0.162023
2.42,4.600096499,0,0.162778
2.425,4.547317028,0,0.162325
2.43,4.564910505,0,0.161721
2.435,4.550835723,0,0.162929
2.44,4.596578284,0,0.16308
2.445,4.571947416,0,0.163231
2.45,4.603615194,0,0.16308
2.455,4.600096499,0,0.163231
2.46,4.571947416,0,0.162778
2.465,4.557873114,0,0.162325
2.47,4.550835723,0,0.161872
2.475,4.571947416,0,0.163684
2.48,4.557873114,0,0.161117
2.485,4.593059588,0,0.162778
2.49,4.571947416,0,0.161268
2.495,4.519167945,0,0.16157
2.5,4.568429201,0,0.161117
2.505,4.575466111,0,0.16006
2.51,4.564910505,0,0.162023
2.515,4.586022197,0,0.159154
2.52,4.575466111,0,0.160513
2.525,4.543798332,0,0.158701
2.53,4.533242727,0,0.159305
2.535,4.56139181,0,0.158399
2.54,4.582503502,0,0.159456
2.545,4.571947416,0,0.160513
2.55,4.596578284,0,0.160211
2.555,4.568429201,0,0.160513
2.56,4.547317028,0,0.159305
2.565,4.575466111,0,0.15855
2.57,4.596578284,0,0.160211
2.575,4.575466111,0,0.158248
2.58,4.575466111,0,0.159607
2.585,4.582503502,0,0.159456
2.59,4.529724031,0,0.160513
2.595,4.56139181,0,0.159758
2.6,4.582503502,0,0.162023
2.605,4.554354419,0,0.16308
2.61,4.578984806,0,0.159305
2.615,4.600096499,0,0.160664
2.62,4.582503502,0,0.162627
2.625,4.564910505,0,0.160362
2.63,4.56139181,0,0.161721
2.635,4.600096499,0,0.159003
2.64,4.536761422,0,0.161268
2.645,4.582503502,0,0.158852
2.65,4.600096499,0,0.161721
2.655,4.529724031,0,0.159305
2.66,4.571947416,0,0.162023
2.665,4.600096499,0,0.163231
2.67,4.56139181,0,0.162325
2.675,4.589540893,0,0.162778
2.68,4.571947416,0,0.161872
2.685,4.547317028,0,0.16308
2.69,4.564910505,0,0.162325
2.695,4.578984806,0,0.16308
2.7,4.568429201,0,0.16459
2.705,4.564910505,0,0.163231
2.71,4.614171281,0,0.163684
2.715,4.586022197,0,0.163231
2.72,4.536761422,0,0.163684
2.725,4.554354419,0,0.163231
2.73,4.589540893,0,0.163231
2.735,4.582503502,0,0.163382
2.74,4.550835723,0,0.165043
2.745,4.586022197,0,0.164137
2.75,4.575466111,0,0.164288
2.755,4.526205336,0,0.163835
2.76,4.589540893,0,0.164288
2.765,4.564910505,0,0.163684
2.77,4.554354419,0,0.164288
2.775,4.610652585,0,0.162325
2.78,4.578984806,0,0.164137
2.785,4.515649249,0,0.162627
2.79,4.571947416,0,0.162023
2.795,4.610652585,0,0.163231
2.8,4.568429201,0,0.162023
2.805,4.582503502,0,0.16308
2.81,4.571947416,0,0.162476
2.815,4.540280117,0,0.162023
2.82,4.550835723,0,0.162476
2.825,4.589540893,0,0.162627
2.83,4.571947416,0,0.164741
2.835,4.578984806,0,0.164439
2.84,4.596578284,0,0.163382
2.845,4.568429201,0,0.164741
2.85,4.505093643,0,0.163533
2.855,4.578984806,0,0.1661
2.86,4.575466111,0,0.165043
2.865,4.586022197,0,0.164741
2.87,4.578984806,0,0.163986
2.875,4.575466111,0,0.164137
2.88,4.571947416,0,0.163684
2.885,4.547317028,0,0.163684
2.89,4.554354419,0,0.162023
2.895,4.575466111,0,0.162023
2.9,4.564910505,0,0.162325
2.905,4.56139181,0,0.160966
2.91,4.589540893,0,0.16157
2.915,4.529724031,0,0.161268
2.92,4.575466111,0,0.162476
2.925,4.60713389,0,0.162023
2.93,4.550835723,0,0.161268
2.935,4.603615194,0,0.161268
2.94,4.600096499,0,0.161268
2.945,4.526205336,0,0.163835
2.95,4.56139181,0,0.161268
2.955,4.578984806,0,0.162778
2.96,4.554354419,0,0.16308
2.965,4.578984806,0,0.160362
2.97,4.582503502,0,0.162627
2.975,4.533242727,0,0.161721
2.98,4.564910505,0,0.162325
2.985,4.571947416,0,0.162627
2.99,4.564910505,0,0.16308
2.995,4.60713389,0,0.160815
3,4.571947416,0,0.162023
3.005,4.568429201,0,0.161419
3.01,4.540280117,0,0.16006
3.015,4.593059588,0,0.161721
3.02,4.578984806,0,0.160362
3.025,4.582503502,0,0.161268
3.03,4.586022197,0,0.16308
3.035,4.547317028,0,0.162627
3.04,4.533242727,0,0.162778
3.045,4.571947416,0,0.16308
3.05,4.575466111,0,0.162023
3.055,4.564910505,0,0.162174
3.06,4.596578284,0,0.162476
3.065,4.568429201,0,0.16459
3.07,4.557873114,0,0.162929
3.075,4.564910505,0,0.162627
3.08,4.593059588,0,0.163684
3.085,4.56139181,0,0.161721
3.09,4.582503502,0,0.163684
3.095,4.582503502,0,0.161419
3.1,4.512131034,0,0.16308
3.105,4.582503502,0,0.164439
3.11,4.568429201,0,0.16459
3.115,4.571947416,0,0.164137
3.12,4.589540893,0,0.165949
3.125,4.571947416,0,0.163835
3.13,4.56139181,0,0.162778
3.135,4.52268664,0,0.164439
3.14,4.586022197,0,0.162023
3.145,4.564910505,0,0.163382
3.15,4.593059588,0,0.163382
3.155,4.578984806,0,0.162627
3.16,4.589540893,0,0.162476
3.165,4.554354419,0,0.163684
3.17,4.540280117,0,0.162627
3.175,4.586022197,0,0.162627
3.18,4.547317028,0,0.162627
3.185,4.571947416,0,0.16459
3.19,4.600096499,0,0.163231
3.195,4.533242727,0,0.162929
3.2,4.543798332,0,0.163835
3.205,4.600096499,0,0.163835
3.21,4.578984806,0,0.161872
3.215,4.564910505,0,0.16459
3.22,4.593059588,0,0.163382
3.225,4.571947416,0,0.164439
3.23,4.526205336,0,0.16459
3.235,4.60713389,0,0.165043
3.24,4.56139181,0,0.163835
3.245,4.571947416,0,0.164892
3.25,4.617689976,0,0.163835
3.255,4.586022197,0,0.164439
3.26,4.547317028,0,0.163684
3.265,4.575466111,0,0.162929
3.27,4.571947416,0,0.16308
3.275,4.578984806,0,0.162325
3.28,4.575466111,0,0.163986
3.285,4.554354419,0,0.162627
3.29,4.571947416,0,0.163382
3.295,4.526205336,0,0.162627
3.3,4.571947416,0,0.163835
3.305,4.575466111,0,0.16459
3.31,4.554354419,0,0.163533
3.315,4.568429201,0,0.16459
3.32,4.589540893,0,0.163986
3.325,4.526205336,0,0.165043
3.33,4.550835723,0,0.163533
3.335,4.596578284,0,0.164439
3.34,4.571947416,0,0.164288
3.345,4.550835723,0,0.162627
3.35,4.614171281,0,0.16459
3.355,4.56139181,0,0.163231
3.36,4.554354419,0,0.162929
3.365,4.550835723,0,0.163835
3.37,4.571947416,0,0.163684
3.375,4.571947416,0,0.16459
3.38,4.56139181,0,0.161872
3.385,4.600096499,0,0.163835
3.39,4.550835723,0,0.164741
3.395,4.526205336,0,0.16308
3.4,4.571947416,0,0.163986
3.405,4.578984806,0,0.161721
3.41,4.547317028,0,0.162627
3.415,4.586022197,0,0.162627
3.42,4.586022197,0,0.162929
3.425,4.526205336,0,0.162778
3.43,4.596578284,0,0.162476
3.435,4.564910505,0,0.162325
3.44,4.571947416,0,0.162325
3.445,4.614171281,0,0.16308
3.45,4.571947416,0,0.16157
3.455,4.550835723,0,0.161872
3.46,4.568429201,0,0.163835
3.465,4.578984806,0,0.160664
3.47,4.582503502,0,0.162174
3.475,4.600096499,0,0.162627
3.48,4.571947416,0,0.162174
3.485,4.564910505,0,0.162023
3.49,4.564910505,0,0.161721
3.495,4.571947416,0,0.160513
3.5,4.575466111,0,0.162627
3.505,4.568429201,0,0.161721
3.51,4.589540893,0,0.162174
3.515,4.540280117,0,0.161268
3.52,4.543798332,0,0.161419
3.525,4.603615194,0,0.161419
3.53,4.575466111,0,0.162023
3.535,4.56139181,0,0.161268
3.54,4.593059588,0,0.163533
3.545,4.557873114,0,0.165194
3.55,4.526205336,0,0.162476
3.555,4.571947416,0,0.162778
3.56,4.550835723,0,0.164439
3.565,4.586022197,0,0.161872
3.57,4.593059588,0,0.163835
3.575,4.571947416,0,0.162023
3.58,4.526205336,0,0.162627
3.585,4.56139181,0,0.163231
3.59,4.568429201,0,0.162325
3.595,4.571947416,0,0.163533
3.6,4.571947416,0,0.162929
3.605,4.571947416,0,0.163231
3.61,4.571947416,0,0.162778
3.615,4.519167945,0,0.163231
3.62,4.578984806,0,0.16157
3.625,4.575466111,0,0.162929
3.63,4.575466111,0,0.161419
3.635,4.610652585,0,0.162325
3.64,4.575466111,0,0.162325
3.645,4.529724031,0,0.160362
3.65,4.547317028,0,0.162023
3.655,4.575466111,0,0.162023
3.66,4.578984806,0,0.161419
3.665,4.557873114,0,0.161872
3.67,4.586022197,0,0.16308
3.675,4.568429201,0,0.16308
3.68,4.515649249,0,0.16308
3.685,4.582503502,0,0.164439
3.69,4.578984806,0,0.162023
3.695,4.568429201,0,0.164439
3.7,4.589540893,0,0.163533
3.705,4.554354419,0,0.162174
3.71,4.550835723,0,0.16308
3.715,4.568429201,0,0.161721
3.72,4.582503502,0,0.163231
3.725,4.56139181,0,0.161721
3.73,4.56139181,0,0.162174
3.735,4.600096499,0,0.162174
3.74,4.578984806,0,0.162174
3.745,4.512131034,0,0.164137
3.75,4.571947416,0,0.172442
3.755,4.575466111,0,0.173499
3.76,4.547317028,0,0.174103
3.765,4.578984806,0,0.17667
3.77,4.557873114,0,0.171234
3.775,4.526205336,0,0.172593
3.78,4.568429201,0,0.173046
3.785,4.554354419,0,0.168516
3.79,4.56139181,0,0.169724
3.795,4.586022197,0,0.168365
3.8,4.56139181,0,0.166855
3.805,4.550835723,0,0.16761
3.81,4.575466111,0,0.166704
3.815,4.575466111,0,0.165647
3.82,4.578984806,0,0.166704
3.825,4.600096499,0,0.165949
3.83,4.550835723,0,0.165798
3.835,4.557873114,0,0.165949
3.84,4.56139181,0,0.1661
3.845,4.586022197,0,0.166251
3.85,4.571947416,0,0.165647
3.855,4.614171281,0,0.163986
3.86,4.564910505,0,0.164741
3.865,4.533242727,0,0.163835
3.87,4.529724031,0,0.162627
3.875,4.593059588,0,0.163986
3.88,4.56139181,0,0.164137
3.885,4.568429201,0,0.164892
3.89,4.596578284,0,0.165043
3.895,4.557873114,0,0.164741
3.9,4.533242727,0,0.164137
3.905,4.564910505,0,0.164741
3.91,4.571947416,0,0.164741
3.915,4.56139181,0,0.162023
3.92,4.586022197,0,0.164439
3.925,4.56139181,0,0.163231
3.93,4.540280117,0,0.163533
3.935,4.593059588,0,0.163382
3.94,4.571947416,0,0.162778
3.945,4.56139181,0,0.163382
3.95,4.60713389,0,0.163684
3.955,4.568429201,0,0.162929
3.96,4.547317028,0,0.163684
3.965,4.557873114,0,0.162627
3.97,4.586022197,0,0.161419
3.975,4.571947416,0,0.162325
3.98,4.582503502,0,0.162325
3.985,4.582503502,0,0.16308
3.99,4.550835723,0,0.162476
3.995,4.56139181,0,0.161872
4,4.586022197,0,0.163684
4.005,4.536761422,0,0.161721
4.01,4.571947416,0,0.162929
4.015,4.571947416,0,0.163231
4.02,4.550835723,0,0.163835
4.025,4.533242727,0,0.163684
4.03,4.593059588,0,0.163835
4.035,4.554354419,0,0.163533
