t,mox,F,Pc,of,mf,eta,gamma,cstr_th,cstr_ex
0.59,0.0031504189560000004,0,171968.0,3.5988694685704123,0.0008753912814880305,0.858229237741639,1.113899073405165,1502.6725029269828,1289.6373450623296
0.595,0.0031504189560000004,0,171968.0,3.5988694685704123,0.0008753912814880305,0.858229237741639,1.113899073405165,1502.6725029269828,1289.6373450623296
0.6,0.003168011953,0,174082.0,3.535206171881704,0.000896132162870078,0.858229237741639,1.1138398614336225,1506.7965782512492,1293.1771678798734
0.605,0.003182086735,0,172723.0,3.6540249107791554,0.0008708442916229263,0.858229237741639,1.1139450721981496,1499.1701321324003,1286.6316191227202
0.61,0.003160974562,0,172723.0,3.5888448657735617,0.0008807777098826098,0.858229237741639,1.1138906868561504,1503.3167229454523,1290.1902091460047
0.615,0.003160974562,0,172874.0,3.580422551091601,0.0008828495846213125,0.858229237741639,1.113883393859241,1503.8597095741798,1290.6565212171358
0.62,0.003160974562,0,174535.0,3.4899139908530588,0.0009057456918092545,0.858229237741639,1.113787528572613,1509.7612292133354,1295.7209835683782
0.625,0.003171530648,0,173629.0,3.570588043627018,0.0008882376261973774,0.858229237741639,1.11387457543171,1504.4955710635252,1291.2022642736217
0.63,0.003168011953,0,172572.0,3.6189611207447223,0.000875392646480843,0.858229237741639,1.1139152015025497,1501.3885906857076,1288.5355111704541
0.635,0.003157455867,0,172874.0,3.5697264393399077,0.000884509197176425,0.858229237741639,1.1138737867164852,1504.551366978087,1291.2501524937243
0.64,0.003178568039,0,173478.0,3.6003535720006576,0.0008828488578786226,0.858229237741639,1.1139002890139065,1502.577331242715,1289.5556709727355
0.645,0.003160974562,0,172270.0,3.614345111096099,0.0008745635695649969,0.858229237741639,1.1139115260094932,1501.682714939445,1288.7879261378612
0.65,0.003157455867,0,173176.0,3.5530536939691784,0.000888659766768892,0.858229237741639,1.11385798557864,1505.6335753008252,1292.1789864055697
0.655,0.003153937652,0,171968.0,3.6097212584847984,0.0008737344038924168,0.858229237741639,1.1139078416914505,1501.9778431616526,1289.041201555435
0.66,0.003160974562,0,171062.0,3.6840441755733293,0.0008580175511896715,0.858229237741639,1.1139778815090633,1497.291458788848,1285.0193038091625
0.665,0.00318560543,0,172421.0,3.682526553775327,0.0008650597309974903,0.858229237741639,1.1139759718544595,1497.3860085000229,1285.1004487034886
0.67,0.003189123645,0,170760.0,3.793163874878971,0.0008407555671719445,0.858229237741639,1.114185325630896,1490.6101411241052,1279.285205051064
0.675,0.0031469002610000005,0,169552.0,3.7286674761356315,0.0008439744978979538,0.858229237741639,1.114049439748362,1494.530467470331,1282.6497425751188
0.68,0.00313986287,0,170609.0,3.6436915135543346,0.0008617257685838334,0.858229237741639,1.1139356632284236,1499.8211079437485,1287.1902943981092
0.685,0.003178568039,0,170609.0,3.767793445308166,0.0008436152578794102,0.858229237741639,1.1141301867975217,1492.141584883337,1280.5995345252115
0.69,0.0031961610360000006,0,171062.0,3.7977562378732515,0.0008415919389786468,0.858229237741639,1.1141952030698394,1490.3344967364606,1279.048639010121
0.695,0.003189123645,0,172270.0,3.7024812218020977,0.0008613476892795062,0.858229237741639,1.1140038035272373,1496.1462408708796,1284.0364466756687
0.7,0.00318560543,0,172421.0,3.682526553775327,0.0008650597309974903,0.858229237741639,1.1139759718544595,1497.3860085000229,1285.1004487034886
0.705,0.003160974562,0,172270.0,3.614345111096099,0.0008745635695649969,0.858229237741639,1.1139115260094932,1501.682714939445,1288.7879261378612
0.71,0.0031504189560000004,0,170911.0,3.6594348839394635,0.0008609031328379599,0.858229237741639,1.1139503139806473,1498.8302174751989,1286.3398990442906
0.715,0.003143381565,0,170307.0,3.6724397617721136,0.0008559382233360801,0.858229237741639,1.1139640297869224,1498.0155586272767,1285.640743139212
0.72,0.003168011953,0,172270.0,3.636157011738117,0.0008712527932025853,0.858229237741639,1.1139291984422488,1500.297216076988,1287.5988939124275
0.725,0.003168011953,0,172572.0,3.6189611207447223,0.000875392646480843,0.858229237741639,1.1139152015025497,1501.3885906857076,1288.5355111704541
0.73,0.003182086735,0,172119.0,3.689039214836577,0.0008625787229916895,0.858229237741639,1.1139843932362936,1496.9805699706092,1284.7524911230962
0.735,0.003199679732,0,173327.0,3.6741830025737254,0.0008708547532223243,0.858229237741639,1.1139660051611093,1497.9066151405418,1285.5472454627684
0.74,0.0031504189560000004,0,169703.0,3.7309922084607687,0.000844391727448746,0.858229237741639,1.114053903469522,1494.387658237572,1282.5271795464507
0.745,0.003171530648,0,171213.0,3.7087898592148036,0.0008551389451521667,0.858229237741639,1.1140139191655576,1495.7558045303651,1283.7013626873263
0.75,0.0031961610360000006,0,173176.0,3.6718951970321925,0.0008704390687902248,0.858229237741639,1.1139634198504007,1498.0496034045711,1285.6699610971257
0.755,0.003178568039,0,172119.0,3.677927686395486,0.0008642279865255104,0.858229237741639,1.1139703704208215,1497.6727936077298,1285.3465745254607
0.76,0.0031644932580000003,0,170609.0,3.7221371807237547,0.0008501817918985666,0.858229237741639,1.1140372203033442,1494.932189733972,1282.9945123177508
0.765,0.003160974562,0,170458.0,3.719823010365957,0.0008497647746119573,0.858229237741639,1.11403301119698,1495.0747472532769,1283.1168593445811
0.77,0.003171530648,0,171666.0,3.6821290179143134,0.00086133066836329,0.858229237741639,1.1139754767510472,1497.4107827475566,1285.1217105678518
0.775,0.0031961610360000006,0,172270.0,3.7248796380662554,0.0008580575338158483,0.858229237741639,1.1140422923445743,1494.7633821288864,1282.8496367096827
0.78,0.003168011953,0,171968.0,3.6535068705891103,0.0008671153675671543,0.858229237741639,1.1139445826445893,1499.2027132567748,1286.6595807115882
0.785,0.003171530648,0,171062.0,3.717754172125584,0.0008530770193949412,0.858229237741639,1.1140293054947703,1495.202278355642,1283.2263102675015
0.79,0.00318560543,0,172270.0,3.691337617751441,0.0008629948706616803,0.858229237741639,1.1139875110475657,1496.837675737604,1284.6298555527692
0.795,0.0031644932580000003,0,171817.0,3.6511972293678916,0.0008667001696174734,0.858229237741639,1.1139424245634701,1499.3480424368029,1286.7843042076643
0.8,0.003168011953,0,171213.0,3.697555745047105,0.0008567854473170739,0.858229237741639,1.1139963535435704,1496.451576873033,1284.2984949786144
0.805,0.003182086735,0,170609.0,3.779308485436907,0.0008419759189443714,0.858229237741639,1.1141552284925837,1491.4447101180592,1280.001456416205
0.81,0.003189123645,0,171364.0,3.7563964330568425,0.0008489848454053576,0.858229237741639,1.1141057169501845,1492.8341553977273,1281.193918546073
0.815,0.00318560543,0,170911.0,3.7723975402587877,0.000844451147049965,0.858229237741639,1.1141401789504746,1491.8626006490001,1280.3601021817572
0.82,0.003171530648,0,169854.0,3.7909402839456696,0.0008366079153056512,0.858229237741639,1.114180519214235,1490.7437819840197,1279.3998995263903
0.825,0.0031961610360000006,0,170760.0,3.8164047871248155,0.0008374795689342768,0.858229237741639,1.1142344359235465,1489.2201385458952,1278.092264335088
0.83,0.003160974562,0,170911.0,3.692930668185449,0.00085595285858783,0.858229237741639,1.1139897187997914,1496.738691592848,1284.5449047309053
0.835,0.003171530648,0,170911.0,3.7267579650083174,0.000851015997759576,0.858229237741639,1.1140458166255645,1494.6478486502908,1282.7504825156873
0.84,0.0031926423410000007,0,170609.0,3.8141085384348945,0.0008370612185855859,0.858229237741639,1.1142296788111383,1489.3569386320642,1278.2096701645619
0.845,0.0031644932580000003,0,169250.0,3.805038868270563,0.0008316585894530695,0.858229237741639,1.1142106933066995,1489.8983856350558,1278.6743557744414
0.85,0.0031644932580000003,0,168646.0,3.8430262768209937,0.0008234378404036608,0.858229237741639,1.1142883825174623,1487.6417334953073,1276.7376309723109
0.855,0.0031961610360000006,0,170005.0,3.8637806289946193,0.0008272107924594214,0.858229237741639,1.1143293328848014,1486.419609587015,1275.6889222595041
0.86,0.003153937652,0,168797.0,3.7980775496110946,0.0008304037005044693,0.858229237741639,1.1141958912781982,1490.3152292624388,1279.032103102549
0.865,0.0031750493439999996,0,168948.0,3.859574375061739,0.000822642352616721,0.858229237741639,1.1143210853141148,1486.666778072944,1275.9011157374962
0.87,0.003182086735,0,168646.0,3.9029970459334535,0.0008152931446144514,0.858229237741639,1.1144058641938455,1484.1251762538823,1273.7197505351373
0.875,0.003182086735,0,173780.0,3.5942189015925257,0.0008853347061276879,0.858229237741639,1.1138952213046542,1502.9710753358754,1289.8935752108396
0.88,0.003178568039,0,171515.0,3.7133998892717903,0.0008559724602198249,0.858229237741639,1.1140216911478502,1495.470957643665,1283.456898710889
0.885,0.003189123645,0,172874.0,3.6673123011421374,0.0008696078716848817,0.858229237741639,1.113958416211189,1498.3363481808108,1285.9160513664817
0.89,0.003203198427,0,172572.0,3.7294548280106388,0.000858891868844178,0.858229237741639,1.1140509451721554,1494.4820882511708,1282.6082221242855
0.895,0.00318560543,0,172270.0,3.691337617751441,0.0008629948706616803,0.858229237741639,1.1139875110475657,1496.837675737604,1284.6298555527692
0.9,0.003160974562,0,173327.0,3.55536119606138,0.0008890726954835754,0.858229237741639,1.1138602352633722,1505.4835306589382,1292.050206419101
0.905,0.0031926423410000007,0,174686.0,3.5760132734851595,0.0008927937613297705,0.858229237741639,1.1138794814962498,1504.1445632081206,1290.9010033644192
0.91,0.003189123645,0,173327.0,3.6413347874417967,0.000875811709485934,0.858229237741639,1.1139336103481885,1499.9698968092648,1287.317986315316
0.915,0.0031504189560000004,0,172572.0,3.5651049964010446,0.000883681955841506,0.858229237741639,1.1138695105643084,1504.8508714157845,1291.5072097397522
0.92,0.003171530648,0,171062.0,3.717754172125584,0.0008530770193949412,0.858229237741639,1.1140293054947703,1495.202278355642,1283.2263102675015
0.925,0.003199679732,0,172421.0,3.727168462919163,0.0008584746742286965,0.858229237741639,1.1140465921265792,1494.622608582527,1282.7288207554975
0.93,0.003168011953,0,172723.0,3.6104208320856825,0.0008774633485509472,0.858229237741639,1.1139084000564836,1501.93315858125,1289.0028538741512
0.935,0.003168011953,0,172421.0,3.6275398344890144,0.0008733224437344478,0.858229237741639,1.113922092053348,1500.8432835511098,1288.0675304057281
0.94,0.0031961610360000006,0,171062.0,3.7977562378732515,0.0008415919389786468,0.858229237741639,1.1141952030698394,1490.3344967364606,1279.048639010121
0.945,0.003199679732,0,171364.0,3.7907902867379972,0.0008440666694736489,0.858229237741639,1.114180194515058,1490.7528011266268,1279.4076400169927
0.95,0.0031644932580000003,0,171968.0,3.6425036243222415,0.0008687687328214576,0.858229237741639,1.1139346247003334,1499.8960886960735,1287.2546435649188
0.955,0.003153937652,0,169099.0,3.779356259057989,0.0008345171600165908,0.858229237741639,1.1141553326025335,1491.4418250447015,1279.9989803625515
