time [s],Oxidizer mass flow rate [g/s],Thrust [N],Chamber pressure [MPaG]
t,mox,F,Pc
2.62,4.66171104,0,0.162023
2.625,4.65453597,0,0.16308
2.63,4.6114831,0,0.159305
2.635,4.67964994,0,0.160664
2.64,4.67247438,0,0.162627
2.645,4.64377263,0,0.160362
2.65,4.69041279,0,0.161721
2.655,4.63659707,0,0.159003
2.66,4.65453597,0,0.161268
2.665,4.64018485,0,0.158852
2.67,4.6868255,0,0.161721
2.675,4.66171104,0,0.159305
2.68,4.69400057,0,0.162023
2.685,4.69041279,0,0.163231
2.69,4.66171104,0,0.162325
2.695,4.64736041,0,0.162778
2.7,4.64018485,0,0.161872
2.705,4.66171104,0,0.16308
2.71,4.64736041,0,0.162325
2.715,4.68323772,0,0.16308
2.72,4.66171104,0,0.16459
2.725,4.60789532,0,0.163231
2.73,4.65812375,0,0.163684
2.735,4.66529882,0,0.163231
2.74,4.65453597,0,0.163684
2.745,4.67606216,0,0.163231
2.75,4.66529882,0,0.163231
2.755,4.63300929,0,0.163382
2.76,4.62224644,0,0.165043
2.765,4.65094819,0,0.164137
2.77,4.67247438,0,0.164288
2.775,4.66171104,0,0.163835
2.78,4.6868255,0,0.164288
2.785,4.65812375,0,0.163684
2.79,4.63659707,0,0.164288
2.795,4.66529882,0,0.162325
2.8,4.6868255,0,0.164137
2.805,4.66529882,0,0.162627
2.81,4.66529882,0,0.162023
2.815,4.67247438,0,0.163231
2.82,4.61865866,0,0.162023
2.825,4.65094819,0,0.16308
2.83,4.67247438,0,0.162476
2.835,4.64377263,0,0.162023
2.84,4.6688866,0,0.162476
2.845,4.69041279,0,0.162627
2.85,4.67247438,0,0.164741
2.855,4.65453597,0,0.164439
2.86,4.65094819,0,0.163382
2.865,4.69041279,0,0.164741
2.87,4.62583422,0,0.163533
2.875,4.67247438,0,0.1661
2.88,4.69041279,0,0.165043
2.885,4.61865866,0,0.164741
2.89,4.66171104,0,0.163986
2.895,4.69041279,0,0.164137
2.9,4.65094819,0,0.163684
2.905,4.67964994,0,0.163684
2.91,4.66171104,0,0.162023
2.915,4.63659707,0,0.162023
2.92,4.65453597,0,0.162325
2.925,4.6688866,0,0.160966
2.93,4.65812375,0,0.16157
2.935,4.65453597,0,0.161268
2.94,4.70476391,0,0.162476
2.945,4.67606216,0,0.162023
2.95,4.62583422,0,0.161268
2.955,4.64377263,0,0.161268
2.96,4.67964994,0,0.161268
2.965,4.67247438,0,0.163835
2.97,4.64018485,0,0.161268
2.975,4.67606216,0,0.162778
2.98,4.66529882,0,0.16308
2.985,4.61507088,0,0.160362
2.99,4.67964994,0,0.162627
2.995,4.65453597,0,0.161721
3,4.64377263,0,0.162325
3.005,4.70117613,0,0.162627
3.01,4.6688866,0,0.16308
3.015,4.60430754,0,0.160815
3.02,4.66171104,0,0.162023
3.025,4.70117613,0,0.161419
3.03,4.65812375,0,0.16006
3.035,4.67247438,0,0.161721
3.04,4.66171104,0,0.160362
3.045,4.629422,0,0.161268
3.05,4.64018485,0,0.16308
3.055,4.67964994,0,0.162627
3.06,4.66171104,0,0.162778
3.065,4.6688866,0,0.16308
3.07,4.6868255,0,0.162023
3.075,4.65812375,0,0.162174
3.08,4.59354469,0,0.162476
3.085,4.6688866,0,0.16459
3.09,4.66529882,0,0.162929
3.095,4.67606216,0,0.162627
3.1,4.6688866,0,0.163684
3.105,4.66529882,0,0.161721
3.11,4.66171104,0,0.163684
3.115,4.63659707,0,0.161419
3.12,4.64377263,0,0.16308
3.125,4.66529882,0,0.164439
3.13,4.65453597,0,0.16459
3.135,4.65094819,0,0.164137
3.14,4.67964994,0,0.165949
3.145,4.61865866,0,0.163835
3.15,4.66529882,0,0.162778
3.155,4.69758835,0,0.164439
3.16,4.64018485,0,0.162023
3.165,4.69400057,0,0.163382
3.17,4.69041279,0,0.163382
3.175,4.61507088,0,0.162627
3.18,4.65094819,0,0.162476
3.185,4.6688866,0,0.163684
3.19,4.64377263,0,0.162627
3.195,4.6688866,0,0.162627
3.2,4.67247438,0,0.162627
3.205,4.62224644,0,0.16459
3.21,4.65453597,0,0.163231
3.215,4.66171104,0,0.162929
3.22,4.65453597,0,0.163835
3.225,4.69758835,0,0.163835
3.23,4.66171104,0,0.161872
3.235,4.65812375,0,0.16459
3.24,4.629422,0,0.163382
3.245,4.68323772,0,0.164439
3.25,4.6688866,0,0.16459
3.255,4.67247438,0,0.165043
